country,year,import_in_tonnes,use_in_tonnes
Latvia,2006,161000000.0,22000000.0
Latvia,2005,244000000.0,25000000.0
Latvia,2004,208000000.0,21000000.0
Latvia,2003,224000000.0,29000000.0
Latvia,2002,219000000.0,40000000.0
Latvia,2001,288000000.0,53000000.0
Latvia,2000,148000000.0,89000000.0
Latvia,1999,384000000.0,166000000.0
Latvia,1998,785000000.0,196000000.0
Latvia,1997,898000000.0,233000000.0
Latvia,1996,1218000000.0,210000000.0
Latvia,1995,1044000000.0,244000000.0
Latvia,1994,1389000000.0,302000000.0
Latvia,1993,1320000000.0,250000000.0
Latvia,1992,1097000000.0,163000000.0
Lithuania,2021,88300000.0,0.0
Lithuania,2020,110800000.0,7500000.0
Lithuania,2019,123400000.0,7200000.0
Lithuania,2018,128800000.00000001,5400000.0
Lithuania,2017,113000000.0,11100000.0
Lithuania,2016,107000000.0,9000000.0
Lithuania,2015,49000000.0,10000000.0
Lithuania,2014,12000000.0,11000000.0
Lithuania,2013,98000000.0,10000000.0
Lithuania,2012,155000000.0,12000000.0
Lithuania,2011,159000000.0,12000000.0
Lithuania,2010,268000000.0,12000000.0
Lithuania,2009,188000000.0,11000000.0
Lithuania,2008,126000000.0,17000000.0
Lithuania,2007,137000000.0,18000000.0
Lithuania,2006,152000000.0,37000000.0
Lithuania,2005,158000000.0,50000000.0
Lithuania,2004,159000000.0,53000000.0
Lithuania,2003,124000000.0,45000000.0
Lithuania,2002,118000000.0,85000000.0
Lithuania,2001,97000000.0,134000000.0
Lithuania,2000,138000000.0,152000000.0
Lithuania,1999,328000000.0,205000000.0
Lithuania,1998,637000000.0,255000000.0
Lithuania,1997,421000000.0,277000000.0
Lithuania,1996,962000000.0,284000000.0
Lithuania,1995,1193000000.0,327000000.0
Lithuania,1994,1375000000.0,430000000.0
Lithuania,1993,1347000000.0,426000000.0
Lithuania,1992,721000000.0,481000000.0
Luxembourg,2021,200000.0,0.0
Luxembourg,2020,1137000.0,1123000.0
Luxembourg,2019,2076000.0,2024000.0
Luxembourg,2018,2740000.0,2716000.0
Luxembourg,2017,2380000.0,2346000.0
Luxembourg,2016,1000000.0,1000000.0
Luxembourg,2015,1000000.0,1000000.0
Luxembourg,2014,1000000.0,1000000.0
Luxembourg,2013,2000000.0,2000000.0
Luxembourg,2012,2000000.0,2000000.0
Luxembourg,2011,2000000.0,2000000.0
Luxembourg,2010,2000000.0,2000000.0
Luxembourg,2009,1000000.0,1000000.0
Luxembourg,2008,1000000.0,1000000.0
Luxembourg,2007,1000000.0,1000000.0
Luxembourg,2006,2000000.0,2000000.0
Luxembourg,2005,2000000.0,2000000.0
Luxembourg,2004,3000000.0,3000000.0
Luxembourg,2003,5000000.0,5000000.0
Luxembourg,2002,6000000.0,6000000.0
Luxembourg,2001,7000000.0,7000000.0
Luxembourg,2000,6000000.0,6000000.0
Luxembourg,1999,5000000.0,5000000.0
Luxembourg,1998,7000000.0,7000000.0
Luxembourg,1997,37000000.0,36000000.0
Luxembourg,1996,80000000.0,74000000.0
Luxembourg,1995,95000000.0,97000000.0
Luxembourg,1994,207000000.0,203000000.0
Luxembourg,1993,250000000.0,238000000.0
Luxembourg,1992,241000000.0,222000000.0
Luxembourg,1991,258000000.0,250000000.0
Luxembourg,1990,247000000.0,242000000.0
Malta,2020,1973785000.0,7042000.0
Malta,2019,2114581000.0000002,6073000.0
Malta,2018,2108889999.9999998,5261000.0
Malta,2017,2021838000.0,5820000.0
Malta,2016,1793000000.0,6000000.0
Malta,2015,1765000000.0,10000000.0
Malta,2014,1683000000.0,10000000.0
Malta,2013,1677000000.0,9000000.0
Malta,2012,1634000000.0,10000000.0
Malta,2011,1720000000.0,3000000.0
Malta,2010,1777000000.0,14000000.0
Malta,2009,1343000000.0,7000000.0
Malta,2008,1276000000.0,0.0
Malta,2007,1325000000.0,0.0
Malta,2006,1183000000.0,0.0
Malta,2005,1136000000.0,0.0
Malta,2004,1402000000.0,0.0
Malta,2003,1344000000.0,0.0
Malta,2002,1149000000.0,0.0
Malta,2001,1176000000.0,0.0
Malta,2000,974000000.0,0.0
Malta,1999,523000000.0,0.0
Malta,1998,464000000.0,0.0
Malta,1997,526000000.0,0.0
Malta,1996,474000000.0,0.0
Malta,1995,456000000.0,0.0
Malta,1994,420000000.0,0.0
Malta,1993,441000000.0,0.0
Malta,1992,441000000.0,0.0
Malta,1991,375000000.0,0.0
Malta,1990,320000000.0,0.0
Netherlands,2021,27799352000.0,0.0
Netherlands,2020,19865047000.0,11485000.0
